Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","MLT-7525","MagneticBuzzer_CUI_CMT-8504-100-SMT",142.500000,-50.800000,0.000000,top
"C1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",61.100000,-115.100000,180.000000,top
"C2","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",61.100000,-107.700000,180.000000,top
"C3","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",106.000000,-45.400000,90.000000,top
"C4","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",110.542800,-56.130200,180.000000,top
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",81.500000,-89.800000,180.000000,top
"C6","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.300000,-88.100000,0.000000,top
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.300000,-97.000000,0.000000,top
"C8","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",106.400000,-89.900000,180.000000,top
"C9","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.200000,-88.200000,0.000000,top
"C10","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.200000,-97.100000,0.000000,top
"C11","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.600000,-56.100000,180.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.924200,-53.687800,180.000000,top
"D2","D","D_SOD-123F",133.600000,-48.400000,270.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.500000,-80.800000,0.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.500000,-89.120000,0.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.500000,-97.800000,0.000000,top
"D6","SMD3528C-50","LED_1210_3225Metric",116.500000,-112.000000,0.000000,top
"DS1","SLR0523DYA1BD","SLR0523DYA1BD",76.250000,-54.600000,0.000000,top
"J1","USB_B_Micro","MicroXNJ",52.800000,-111.700000,180.000000,top
"J17","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical_centered",81.720000,-80.850000,0.000000,top
"J20","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical_centered",106.660000,-80.900000,0.000000,top
"J24","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical_centered",125.220000,-94.750000,270.000000,top
"J25","Conn_01x05_Female","PinSocket_1x05_P2.54mm_Vertical_centered",125.180000,-79.200000,270.000000,top
"Q1","S9013","SOT-23_rotated",142.130000,-61.950000,180.000000,top
"R1","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",100.230000,-43.400000,0.000000,top
